Region,Frequency,Exposure (EVY),Non_Area_Related_Veh_Risk,Location_Type,Local_Authority_Code,Density,Traffic_Flow,Distance_Travelled,Averaged_Density,Distance_Travelled_2,Local_Crimes,Young,Mid,Old,Points_Per_License_Avg,Avg_Drivers,Avg_Pts,Points_Per_License,Drivers,Pts,Local_Schools,Local_CMCs,Nearest_CMC,Nearest_School,Nearest_Incidents,Nearest_Crimes,Local_Incidents_Sev1,Local_Incidents_Sev2,Local_Incidents_Sev3,Incident_Severity_Ratio1,Incident_Severity_Ratio2
24,0,14.94794519,0.034260303,Large urban area,338,10.53511628,1487.604651,5.200206328,7.818235294,5.218198777,,0.283945514,0.609460545,0.106593941,0.383241505,4233175758,1622328650,0.410768839,15712,6454,4.255813953,0,96177.97114,651.8367107,4305.153978,,9.034883721,131.2209302,396.9709302,0.016817512,0.261008355
25,0,33.23013698,0.029812943,Large urban area,338,11.87,1314,4.715809918,7.818235294,5.130304655,,0.297858611,0.596964422,0.105176967,0.383241505,4233175758,1622328650,0.410768839,15712,6454,12.9757085,0,93344.58908,631.583423,2960.912568,,9,126.8340081,384.3522267,0.017306973,0.261058123
26,0.024531218,40.76438357,0.033832438,Large urban area,338,11.87,1314,4.715809918,11.28952661,4.765510778,,0.297858611,0.596964422,0.105176967,0.386029327,4425325821,1708305548,0.33852459,12200,4130,20.05333333,0,95890.92265,470.1057282,3312.759009,,9,109.05,368.45,0.018503166,0.242622119
27,0.012467976,80.20547943,0.040590641,Accessible rural area,338,7.233846154,1916.942308,6.398155912,8.289799054,5.377281129,,0.249537356,0.640364417,0.110098227,0.388026788,3951852453,1533424616,0.428297132,8333,3569,9.711538462,0,99488.72532,1080.357497,5189.256774,,8.753205128,110.3269231,363.2275641,0.018150362,0.246860053
28,0,5.21095889,0.025728626,Large urban area,338,11.87,1314,4.715809918,11.86839875,4.715943618,,0.297858611,0.596964422,0.105176967,0.38697394,4502999423,1742543429,0.464161019,14607,6780,23.84042553,0,95179.84911,245.1640563,2323.158663,,9,106.8723404,356.1595745,0.019067383,0.245477515
29,0,11.12876716,0.029071629,Large urban area,338,11.87,1314,4.715809918,11.86839875,4.715943618,,0.297858611,0.596964422,0.105176967,0.38697394,4502999423,1742543429,0.464161019,14607,6780,31.93292683,0,94563.46288,327.131141,2339.643563,,9,108.902439,369.4085366,0.01846962,0.24193571
30,0,11.08219175,0.028127512,Large urban area,338,11.87,1314,4.715809918,11.86839875,4.715943618,,0.297858611,0.596964422,0.105176967,0.38697394,4502999423,1742543429,0.464161019,14607,6780,31.0718232,0,94186.92194,305.2308493,1694.739647,,9,107.6187845,360.1160221,0.018880259,0.244632425
31,0,27.11232877,0.029444257,Large urban area,338,11.87,1314,4.715809918,11.86839875,4.715943618,,0.297858611,0.596964422,0.105176967,0.38697394,4502999423,1742543429,0.464161019,14607,6780,37.5147929,0,93808.49576,415.9051303,1889.695027,,9,110.7928994,371.1597633,0.018332987,0.243972743
32,0.098012889,10.20273972,0.029035554,Large urban area,338,11.87,1314,4.715809918,11.86839875,4.715943618,,0.297858611,0.596964422,0.105176967,0.38697394,4502999423,1742543429,0.464161019,14607,6780,26.3718593,0,94025.96374,465.6214534,1845.789033,,9,103.9396985,352.6281407,0.019332122,0.242580202
33,0,15.01917807,0.033183718,Large urban area,338,11.87,1314,4.715809918,11.86517227,4.716213077,,0.297858611,0.596964422,0.105176967,0.386212699,4548747342,1756783987,0.374083681,8867,3317,31.62,0,93067.18627,304.5820098,1308.554683,,9,105.6933333,358.3333333,0.019027804,0.242454266
34,0,16.78904112,0.035770716,Large urban area,338,11.87,1314,4.715809918,11.86517227,4.716213077,,0.297858611,0.596964422,0.105176967,0.386212699,4548747342,1756783987,0.374083681,8867,3317,36.67777778,0,92609.33513,287.2164028,1982.161935,,9,109.9222222,364.5888889,0.018615402,0.245945924
35,0,12.01369862,0.032344148,Large urban area,338,11.87,1314,4.715809918,11.86517227,4.716213077,,0.297858611,0.596964422,0.105176967,0.386212699,4548747342,1756783987,0.374083681,8867,3317,35.35,0,93433.57617,497.2375504,1572.846632,,9,108.3714286,365.5142857,0.018639904,0.24306338
36,0,61.23013691,0.029596296,Accessible rural area,339,0.391954397,2779.345277,8.862130434,0.391954397,8.861499745,,0.178159553,0.703987676,0.117852771,0.403836672,699125253.1,282332415.3,0.416483516,5460,2274,1.228013029,0,52540.16103,1430.216908,17809.13508,,3.915309446,57.47882736,102.1791531,0.023668723,0.374368708
37,0,38.86301368,0.039116238,Remote rural area,339,0.39,2807,8.881619045,0.426444444,8.792296666,,0.178205979,0.704431076,0.117362945,0.345507065,1619093217,559408145.8,0.279993462,12236,3426,1.103174603,0,74593.36034,2003.674991,15125.26728,,4.329365079,92.95634921,177.5238095,0.013906561,0.36632585
38,0.051091825,58.71780822,0.036632971,Accessible small town,339,0.47535316,2795.899628,8.850646486,0.426444444,8.786654527,,0.17909559,0.703632067,0.117272343,0.345507065,1619093217,559408145.8,0.279993462,12236,3426,2.513011152,0,74017.75162,857.7575983,8248.621338,,12.1598513,170.2230483,392.2453532,0.021275199,0.318565986
39,0,11.29315067,0.022165344,Accessible rural area,339,0.39,2807,8.881619045,0.426444444,8.792296666,,0.178205979,0.704431076,0.117362945,0.345507065,1619093217,559408145.8,0.279993462,12236,3426,1.047169811,0,70655.81531,2175.031026,18897.49959,,9.754716981,132.3396226,291.8207547,0.021523583,0.354636575
40,0.077498806,51.61369866,0.035966742,Other urban area,339,0.42751634,2802.120915,8.86800529,0.421538462,8.801386029,,0.178597001,0.704079878,0.117323121,0.375044201,3850072391,1443947325,0.327680847,10202,3343,3.846405229,0,87100.76496,855.3026601,6022.334752,,14.01633987,186.6895425,471.1503268,0.020862497,0.298728077
41,0,4.83561643,0.023367168,Accessible rural area,339,0.39,2807,8.881619045,0.421538462,8.803865996,,0.178205979,0.704431076,0.117362945,0.375044201,3850072391,1443947325,0.327680847,10202,3343,1.245283019,0,85696.53821,1634.98615,11408.20013,,15.13207547,188.6415094,474.6792453,0.022305493,0.300338199
42,0.063054244,47.5780822,0.037374309,Remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.335575512,631379235.8,211875410.4,0.34760274,4088,1421,1.723880597,0,86288.68746,1717.264608,30912.87824,,3.634328358,62.59701493,106.5932836,0.021460641,0.389564991
43,0,12.9589041,0.051049532,Remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.278768658,353862358.9,98645735,0.253804615,4074,1034,0.943661972,0,74930.52919,1593.523575,27672.79195,,2,35.23943662,36.04225352,0.029656781,0.520243272
44,0,20.62191779,0.038448289,Remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.278768658,353862358.9,98645735,0.253804615,4074,1034,1.224489796,0,69788.5799,2055.117932,23214.16129,,2,41.21938776,40.98979592,0.02637197,0.530661004
45,0,14.3150685,0.024587795,Very remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.228670341,96532757.65,22074178.56,0.211764706,1870,396,0.855421687,0,65765.9989,1366.08204,25875.34175,,0.759036145,14.09638554,15.30722892,0.036212016,0.506099422
46,0,3.38082192,0.036553156,Very remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.279400225,125894959.2,35175079.91,0.239608802,409,98,0.468085106,0,82144.36531,3412.776044,41317.53092,,0.085106383,17.36170213,22.74468085,0.001870696,0.434267835
47,0,9.24383563,0.009979761,Remote rural area,329,0.386511628,750.9534884,7.565723466,0.386511628,7.557654412,,0.18803339,0.672939851,0.13902676,0.344247616,115546473.4,39776597.98,0.319958848,972,311,0.697674419,0,99244.80446,2545.044388,39673.92438,,0.476744186,10.61627907,27.18604651,0.009413116,0.268446462
48,0,7.41369863,0.039363198,Accessible rural area,329,0.39,729,7.533817108,0.39,7.533817108,,0.188191175,0.672738969,0.139069857,0.32070638,563403690.9,180687158,0.306077694,3192,977,0.765625,0,117406.3596,1421.697004,11490.91359,,2.5,47.96875,63.953125,0.021303199,0.440374292
49,0.050920759,19.63835616,0.023716191,Accessible rural area,329,0.39,729,7.533817108,0.39,7.533817108,,0.188191175,0.672738969,0.139069857,0.32070638,563403690.9,180687158,0.306077694,3192,977,1.785714286,0,113601.3645,1169.06335,10389.883,,2.87755102,41.34693878,61.81632653,0.027056839,0.416876907
50,0.033830754,29.5589041,0.024129628,Other urban area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.380636024,2149161381,818048243.6,0.400772499,12945,5188,4.642622951,0,72099.66001,541.1774006,4250.755478,,13.51147541,143.9836066,353.5704918,0.026770922,0.310679114
51,0,48.0191781,0.025260869,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.380636024,2149161381,818048243.6,0.400772499,12945,5188,2.050505051,0,75941.69735,1603.560833,12336.84901,,13.31313131,148.5050505,373.2929293,0.025923232,0.30779623
52,0,15.29041093,0.040561247,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.396218387,1826707549,723775118,0.389949308,15979,6231,1.368852459,0,109239.8357,1264.055568,24581.06879,,20.60655738,164.2459016,461.5163934,0.031908266,0.285827514
53,0,20.66027398,0.033270002,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.396218387,1826707549,723775118,0.389949308,15979,6231,1.035532995,0,113320.0359,1812.034891,18948.91479,,18.56852792,124.5431472,334.1319797,0.042343248,0.307617079
54,0,32.08493151,0.029233429,Remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.396218387,1826707549,723775118,0.389949308,15979,6231,1.918819188,0,118144.3818,2064.089706,18182.21417,,18.48339483,108.9520295,297.7933579,0.049001269,0.30853612
55,0,29.76164384,0.02526388,Remote small town,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.396218387,1826707549,723775118,0.389949308,15979,6231,4.964467005,0,114401.0122,474.7092957,10239.87818,,19.95939086,148.0203046,426.4720812,0.033610515,0.282644325
56,0,17.15890408,0.02846607,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.432796238,989785807.9,428375574.2,0.454367161,21925,9962,1.171052632,0,126047.9604,1396.067042,13791.65037,,10.93421053,39.625,109.1447368,0.068654999,0.316240398
57,0,12.17260271,0.03861049,Other urban area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.432796238,989785807.9,428375574.2,0.454367161,21925,9962,7.942446043,0,136894.9278,420.9324606,3102.552247,,12,29,94.19784173,0.088767451,0.303288792
58,0.073685273,27.14246577,0.036533718,Other urban area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.432796238,989785807.9,428375574.2,0.454367161,21925,9962,8.152866242,0,135702.9965,328.484242,5079.58743,,12,29,93.95541401,0.088925768,0.303829708
59,0.058409346,17.12054792,0.037302859,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.432796238,989785807.9,428375574.2,0.454367161,21925,9962,3.319047619,0,135799.5955,1452.675521,10218.14467,,12.34285714,29.04285714,93.29047619,0.092247784,0.30803154
60,0,27.63835614,0.025758746,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.432796238,989785807.9,428375574.2,0.454367161,21925,9962,1.492957746,0,132693.4546,1531.035468,15449.47088,,17.24882629,46.21126761,118.4225352,0.094782345,0.345943476
61,0.071540572,27.95616434,0.04276807,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.432796238,989785807.9,428375574.2,0.454367161,21925,9962,2.049751244,0,128961.2914,1622.549202,14071.09934,,19.62686567,55.79104478,130.8109453,0.095726656,0.365310323
62,0,24.2438356,0.030838042,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.406392291,727551012.5,295671122.7,0.390195297,15054,5874,0.731543624,0,136520.6736,1898.764115,25395.36857,,16.62416107,48.83221477,112.6912752,0.093427177,0.365531999
63,0.061026584,16.38630139,0.035929766,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.406392291,727551012.5,295671122.7,0.390195297,15054,5874,2.533333333,0,144792.6152,1485.818837,13276.08421,,12.77575758,30.96969697,89.90909091,0.096613492,0.327052087
64,0.093207355,21.45753423,0.033304941,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.406392291,727551012.5,295671122.7,0.390195297,15054,5874,1.54375,0,145087.8582,1242.935918,15245.5387,,13.45625,29.025,94.75,0.097628949,0.308830964
65,0.109741431,18.22465755,0.038898033,Other urban area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.406392291,727551012.5,295671122.7,0.390195297,15054,5874,6.42804428,0,148342.0736,331.7581577,3562.474623,,11.15498155,28.99630996,80.44280443,0.092476518,0.333091715
66,0.083124573,24.06027396,0.035709283,Remote small town,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.339873463,472043324.2,160434999.5,0.322478157,2518,812,2.937931034,0,137382.4523,565.8281128,5030.619022,,6,20.22758621,61.13103448,0.068689055,0.300238103
67,0,36.24657532,0.041373099,Remote small town,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.336006172,519599415.7,174588610.6,0.333651616,7331,2446,3.171232877,0,136566.8392,430.4748894,7639.096711,,6,21.00684932,51.76027397,0.076197432,0.342969982
68,0.019946445,50.13424656,0.037296852,Remote rural area,339,0.39,2790.507937,8.870922204,0.39,8.870922204,,0.178285227,0.704179551,0.117535222,0.336006172,519599415.7,174588610.6,0.333651616,7331,2446,1.031746032,0,134286.5113,1599.008896,16554.64305,,6.301587302,32.96031746,62.29365079,0.062700764,0.385433077
69,0,21.24657535,0.036479702,Remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.336006172,519599415.7,174588610.6,0.333651616,7331,2446,0.797169811,0,134259.7264,2770.298938,21592.28926,,10.71226415,34.23113208,70.58962264,0.091890316,0.386494693
70,0.011185682,89.40000005,0.031732007,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.37383063,2467025395,922249658.8,0.370134716,25461,9424,2.337209302,0,99989.39879,1135.077726,8109.058027,,16.02906977,169.5668605,434.75,0.026051605,0.299456925
71,0,11.61917813,0.031135372,Other urban area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.37383063,2467025395,922249658.8,0.370134716,25461,9424,6.548387097,0,97913.30878,269.2689279,2515.135827,,15.76774194,184.7548387,459.3354839,0.023893124,0.303897315
72,0,28.21917808,0.043999456,Other urban area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.37383063,2467025395,922249658.8,0.370134716,25461,9424,5.899371069,0,98717.84269,629.0135965,4696.315083,,14.22641509,183.490566,448.7358491,0.022003722,0.305843713
73,0.039877636,50.15342463,0.027164177,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.37383063,2467025395,922249658.8,0.370134716,25461,9424,3.038610039,0,96886.51673,1254.228805,8879.244887,,13.2972973,159.7413127,381.5212355,0.024734681,0.31680895
74,0,0.90684931,0.033962624,Other urban area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.37383063,2467025395,922249658.8,0.370134716,25461,9424,6.538461538,0,99683.7442,1236.975992,5966.54116,,14.80769231,181.9615385,450.8846154,0.022862399,0.30380974
75,0.099945236,10.00547945,0.03653645,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.37383063,2467025395,922249658.8,0.370134716,25461,9424,0.919642857,0,85712.16388,1841.161772,16304.26751,,10.85714286,156.8035714,373.0357143,0.019587679,0.312580589
76,0,19.75890414,0.024981968,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.37383063,2467025395,922249658.8,0.370134716,25461,9424,0.784946237,0,110335.9406,1802.180875,21743.74094,,10.69892473,84.56989247,170.2580645,0.040417898,0.365446138
77,0.036624523,27.30410957,0.03387686,Accessible rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.36173261,805113925.4,291235961.5,0.383605679,3733,1432,1.149193548,0,100627.4798,1682.083984,17549.24535,,6.629032258,84.09274194,136.8225806,0.029310893,0.403616125
78,0.062855175,31.81917811,0.039540526,Remote small town,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.35166808,722082472.8,253933356.6,0.333740831,8998,3003,1.595041322,0,123610.0954,1172.381361,10794.05418,,11.60330579,50.58264463,92.68181818,0.075141023,0.40133533
79,0.074006488,13.51232879,0.035019928,Remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.35166808,722082472.8,253933356.6,0.333740831,8998,3003,0.816326531,0,129511.0059,2092.225066,18526.29629,,17.14285714,50.31292517,103.2040816,0.100868886,0.395901254
80,0,3.47671233,0.043838532,Remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.35166808,722082472.8,253933356.6,0.333740831,8998,3003,0.489130435,0,126354.8632,2674.49274,23787.41005,,19.67391304,67.43478261,146.2934783,0.084785195,0.373073209
81,0,22.98356161,0.031864021,Remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.35166808,722082472.8,253933356.6,0.333740831,8998,3003,0.611111111,0,117803.9791,2900.98937,17675.32609,,14.23232323,74.17676768,146.1515152,0.061535433,0.379702833
82,0,26.84657533,0.023998984,Remote rural area,339,0.39,2660.53304,8.786619789,0.39,8.786619789,,0.178909782,0.702197271,0.118892947,0.338612288,585526348.8,198266416.4,0.329535495,7987,2632,0.947136564,0,103471.8693,2218.994693,25238.20137,,3.911894273,41.24229075,77.27312775,0.029169085,0.364920146
83,0.07485644,13.35890411,0.036797246,Remote rural area,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.338612288,585526348.8,198266416.4,0.329535495,7987,2632,1.075471698,0,112260.0604,2016.662063,21834.80197,,10.77358491,58.27358491,96.35849057,0.065939878,0.416407805
84,0.071822117,27.84657534,0.029440123,Remote rural area,339,0.39,2290.435028,8.546572236,0.39,8.546572236,,0.180688175,0.696552812,0.122759013,0.338612288,585526348.8,198266416.4,0.329535495,7987,2632,0.621468927,0,121750.4222,2259.095131,25124.33467,,10.27118644,44.53107345,77.94350282,0.07609332,0.410611237
85,0,18.57808217,0.033353125,Remote small town,339,0.39,2807,8.881619045,0.39,8.881619045,,0.178205979,0.704431076,0.117362945,0.338612288,585526348.8,198266416.4,0.329535495,7987,2632,2,0,110186.0988,669.2650241,3436.676744,,9.321428571,49.9,85.12857143,0.064570809,0.410235097
86,0.102903863,9.71780821,0.05315953,Remote rural area,329,0.39,729,7.533817108,0.39,7.533817108,,0.188191175,0.672738969,0.139069857,0.328663755,653893083,214910955.9,0.320669672,6212,1992,0.91011236,0,109974.7668,1601.441269,19517.51449,,2.93258427,35.84269663,58.85393258,0.029793681,0.392790131
87,0,18.1287671,0.03648827,Remote small town,329,0.39,773.212766,7.562493745,0.39,7.562493745,,0.187978724,0.673413269,0.138608007,0.328663755,653893083,214910955.9,0.320669672,6212,1992,3.329787234,0,119102.8788,900.2580479,8499.273834,,4.606382979,44.21808511,73.85638298,0.037491958,0.397569545
